weight,bias,iteration
0.5264130536714157,0.7682375021049708,5
0.6271872644057761,0.8121912526398939,10
0.7200288856082486,0.8525003720831598,15
0.8055678241434553,0.8894545000598291,20
0.8843839607803238,0.9233202732445563,25
0.9570111231849797,0.9543431522196362,30
1.0239407433848595,0.9827491032469035,35
1.0856252247628257,1.0087461464759553,40
1.1424810416499702,1.0325257811961592,45
1.1948915927536867,1.054264297897395,50
1.2432098279709949,1.0741239861290264,55
1.287760666584561,1.0922542464326288,60
1.3288432234094085,1.1087926139667834,65
1.3667328581425993,1.123865700837232,70
1.401683061956825,1.1375900635886367,75
1.4339271942637364,1.1500730018015621,80
1.4636800815462754,1.1614132932661254,85
1.4911394892142957,1.1717018707693276,90
1.5164874765677543,1.1810224451330176,95
1.5398916441508599,1.1894520787711693,100
